company_name,report_year,report_value,role_type,pct_of_role_type,source
Adobe,2015,asian,all_roles,24.0%,http://wwwimages.adobe.com/content/dam/acom/en/diversity/pdfs/consolidated-eeo-1.pdf
Adobe,2015,black,all_roles,2.0%,http://wwwimages.adobe.com/content/dam/acom/en/diversity/pdfs/consolidated-eeo-1.pdf
Adobe,2015,hispanic,all_roles,4.0%,http://wwwimages.adobe.com/content/dam/acom/en/diversity/pdfs/consolidated-eeo-1.pdf
Adobe,2015,white,all_roles,69.0%,http://wwwimages.adobe.com/content/dam/acom/en/diversity/pdfs/consolidated-eeo-1.pdf
Adobe,2015,asian,leadership,18.0%,http://wwwimages.adobe.com/content/dam/acom/en/diversity/pdfs/consolidated-eeo-1.pdf
Adobe,2015,black,leadership,0.0%,http://wwwimages.adobe.com/content/dam/acom/en/diversity/pdfs/consolidated-eeo-1.pdf
Adobe,2015,hispanic,leadership,3.0%,http://wwwimages.adobe.com/content/dam/acom/en/diversity/pdfs/consolidated-eeo-1.pdf
Adobe,2015,white,leadership,78.0%,http://wwwimages.adobe.com/content/dam/acom/en/diversity/pdfs/consolidated-eeo-1.pdf
Adobe,2016,asian,all_roles,26.0%,http://wwwimages.adobe.com/content/dam/acom/en/diversity/pdfs/consolidated-eeo-1-2016.pdf
Adobe,2016,black,all_roles,2.0%,http://wwwimages.adobe.com/content/dam/acom/en/diversity/pdfs/consolidated-eeo-1-2016.pdf
Adobe,2016,hispanic,all_roles,5.0%,http://wwwimages.adobe.com/content/dam/acom/en/diversity/pdfs/consolidated-eeo-1-2016.pdf
Adobe,2016,white,all_roles,66.0%,http://wwwimages.adobe.com/content/dam/acom/en/diversity/pdfs/consolidated-eeo-1-2016.pdf
Adobe,2016,asian,leadership,19.0%,http://wwwimages.adobe.com/content/dam/acom/en/diversity/pdfs/consolidated-eeo-1-2016.pdf
Adobe,2016,black,leadership,0.0%,http://wwwimages.adobe.com/content/dam/acom/en/diversity/pdfs/consolidated-eeo-1-2016.pdf
Adobe,2016,hispanic,leadership,3.0%,http://wwwimages.adobe.com/content/dam/acom/en/diversity/pdfs/consolidated-eeo-1-2016.pdf
Adobe,2016,white,leadership,76.0%,http://wwwimages.adobe.com/content/dam/acom/en/diversity/pdfs/consolidated-eeo-1-2016.pdf
Adobe,2017,asian,all_roles,28.0%,https://wwwimages2.adobe.com/content/dam/acom/en/diversity/pdfs/consolidated-eeo-1-2017.pdf
Adobe,2017,black,all_roles,2.0%,https://wwwimages2.adobe.com/content/dam/acom/en/diversity/pdfs/consolidated-eeo-1-2017.pdf
Adobe,2017,hispanic,all_roles,5.0%,https://wwwimages2.adobe.com/content/dam/acom/en/diversity/pdfs/consolidated-eeo-1-2017.pdf
Adobe,2017,white,all_roles,63.0%,https://wwwimages2.adobe.com/content/dam/acom/en/diversity/pdfs/consolidated-eeo-1-2017.pdf
Adobe,2017,asian,leadership,19.0%,https://wwwimages2.adobe.com/content/dam/acom/en/diversity/pdfs/consolidated-eeo-1-2017.pdf
Adobe,2017,black,leadership,0.0%,https://wwwimages2.adobe.com/content/dam/acom/en/diversity/pdfs/consolidated-eeo-1-2017.pdf
Adobe,2017,hispanic,leadership,3.0%,https://wwwimages2.adobe.com/content/dam/acom/en/diversity/pdfs/consolidated-eeo-1-2017.pdf
Adobe,2017,white,leadership,77.0%,https://wwwimages2.adobe.com/content/dam/acom/en/diversity/pdfs/consolidated-eeo-1-2017.pdf
Adobe,2018,asian,all_roles,29.0%,https://www.adobe.com/content/dam/acom/en/careers/pdfs/2018-EEO.pdf
Adobe,2018,black,all_roles,2.0%,https://www.adobe.com/content/dam/acom/en/careers/pdfs/2018-EEO.pdf
Adobe,2018,hispanic,all_roles,5.0%,https://www.adobe.com/content/dam/acom/en/careers/pdfs/2018-EEO.pdf
Adobe,2018,white,all_roles,61.0%,https://www.adobe.com/content/dam/acom/en/careers/pdfs/2018-EEO.pdf
Adobe,2018,asian,leadership,20.0%,https://www.adobe.com/content/dam/acom/en/careers/pdfs/2018-EEO.pdf
Adobe,2018,black,leadership,0.0%,https://www.adobe.com/content/dam/acom/en/careers/pdfs/2018-EEO.pdf
Adobe,2018,hispanic,leadership,2.0%,https://www.adobe.com/content/dam/acom/en/careers/pdfs/2018-EEO.pdf
Adobe,2018,white,leadership,77.0%,https://www.adobe.com/content/dam/acom/en/careers/pdfs/2018-EEO.pdf
Adobe,2019,asian,all_roles,31.0%,https://www.adobe.com/content/dam/cc/en/diversity/pdfs/adobe_diversity-and-inclusion_year-in-review_fy2019.pdf
Adobe,2019,black,all_roles,2.0%,https://www.adobe.com/content/dam/cc/en/diversity/pdfs/adobe_diversity-and-inclusion_year-in-review_fy2019.pdf
Adobe,2019,hispanic,all_roles,5.0%,https://www.adobe.com/content/dam/cc/en/diversity/pdfs/adobe_diversity-and-inclusion_year-in-review_fy2019.pdf
Adobe,2019,white,all_roles,59.0%,https://www.adobe.com/content/dam/cc/en/diversity/pdfs/adobe_diversity-and-inclusion_year-in-review_fy2019.pdf
Adobe,2020,asian,all_roles,31.2%,https://www.adobe.com/diversity/data.html
Adobe,2020,black,all_roles,2.5%,https://www.adobe.com/diversity/data.html
Adobe,2020,hispanic,all_roles,5.3%,https://www.adobe.com/diversity/data.html
Adobe,2020,white,all_roles,58.1%,https://www.adobe.com/diversity/data.html
AirBnB,2015,asian,all_roles,22.0%,https://blog.atairbnb.com/wp-content/uploads/2015/01/Airbnb2016EEO-1Data.pdf
AirBnB,2015,black,all_roles,3.0%,https://blog.atairbnb.com/wp-content/uploads/2015/01/Airbnb2016EEO-1Data.pdf
AirBnB,2015,hispanic,all_roles,7.0%,https://blog.atairbnb.com/wp-content/uploads/2015/01/Airbnb2016EEO-1Data.pdf
AirBnB,2015,white,all_roles,63.0%,https://blog.atairbnb.com/wp-content/uploads/2015/01/Airbnb2016EEO-1Data.pdf
AirBnB,2016,asian,all_roles,30.0%,https://blog.atairbnb.com/wp-content/uploads/2015/01/Airbnb2016EEO-1Data.pdf
AirBnB,2016,black,all_roles,3.0%,https://blog.atairbnb.com/wp-content/uploads/2015/01/Airbnb2016EEO-1Data.pdf
AirBnB,2016,hispanic,all_roles,6.0%,https://blog.atairbnb.com/wp-content/uploads/2015/01/Airbnb2016EEO-1Data.pdf
AirBnB,2016,white,all_roles,57.0%,https://blog.atairbnb.com/wp-content/uploads/2015/01/Airbnb2016EEO-1Data.pdf
AirBnB,2016,asian,leadership,25.0%,https://blog.atairbnb.com/wp-content/uploads/2015/01/Airbnb2016EEO-1Data.pdf
AirBnB,2016,black,leadership,2.0%,https://blog.atairbnb.com/wp-content/uploads/2015/01/Airbnb2016EEO-1Data.pdf
AirBnB,2016,hispanic,leadership,3.0%,https://blog.atairbnb.com/wp-content/uploads/2015/01/Airbnb2016EEO-1Data.pdf
AirBnB,2016,white,leadership,68.0%,https://blog.atairbnb.com/wp-content/uploads/2015/01/Airbnb2016EEO-1Data.pdf
AirBnB,2017,asian,all_roles,36.4%,https://www.airbnb.com/diversity/belonging
AirBnB,2017,black,all_roles,3.5%,https://www.airbnb.com/diversity/belonging
AirBnB,2017,hispanic,all_roles,7.4%,https://www.airbnb.com/diversity/belonging
AirBnB,2017,white,all_roles,49.8%,https://www.airbnb.com/diversity/belonging
AirBnB,2017,asian,leadership,24.1%,https://www.airbnb.com/diversity/belonging
AirBnB,2017,black,leadership,2.8%,https://www.airbnb.com/diversity/belonging
AirBnB,2017,hispanic,leadership,4.6%,https://www.airbnb.com/diversity/belonging
AirBnB,2017,white,leadership,67.6%,https://www.airbnb.com/diversity/belonging
AirBnB,2017,asian,technical,52.2%,https://www.airbnb.com/diversity/belonging
AirBnB,2017,black,technical,2.2%,https://www.airbnb.com/diversity/belonging
AirBnB,2017,hispanic,technical,5.2%,https://www.airbnb.com/diversity/belonging
AirBnB,2017,white,technical,38.1%,https://www.airbnb.com/diversity/belonging
AirBnB,2018,asian,all_roles,38.0%,https://www.airbnb.com/diversity/belonging
AirBnB,2018,black,all_roles,3.5%,https://www.airbnb.com/diversity/belonging
AirBnB,2018,hispanic,all_roles,7.8%,https://www.airbnb.com/diversity/belonging
AirBnB,2018,white,all_roles,47.9%,https://www.airbnb.com/diversity/belonging
AirBnB,2018,asian,leadership,30.4%,https://www.airbnb.com/diversity/belonging
AirBnB,2018,black,leadership,6.1%,https://www.airbnb.com/diversity/belonging
AirBnB,2018,hispanic,leadership,4.1%,https://www.airbnb.com/diversity/belonging
AirBnB,2018,white,leadership,58.8%,https://www.airbnb.com/diversity/belonging
AirBnB,2018,asian,technical,53.1%,https://www.airbnb.com/diversity/belonging
AirBnB,2018,black,technical,2.0%,https://www.airbnb.com/diversity/belonging
AirBnB,2018,hispanic,technical,5.7%,https://www.airbnb.com/diversity/belonging
AirBnB,2018,white,technical,37.0%,https://www.airbnb.com/diversity/belonging
AirBnB,2019,asian,all_roles,38.0%,https://news.airbnb.com/wp-content/uploads/sites/4/2019/03/2018_EEO-1_Employment_Data.pdf
AirBnB,2019,black,all_roles,4.0%,https://news.airbnb.com/wp-content/uploads/sites/4/2019/03/2018_EEO-1_Employment_Data.pdf
AirBnB,2019,hispanic,all_roles,8.0%,https://news.airbnb.com/wp-content/uploads/sites/4/2019/03/2018_EEO-1_Employment_Data.pdf
AirBnB,2019,white,all_roles,48.0%,https://news.airbnb.com/wp-content/uploads/sites/4/2019/03/2018_EEO-1_Employment_Data.pdf
AirBnB,2019,asian,leadership,26.0%,https://news.airbnb.com/wp-content/uploads/sites/4/2019/03/2018_EEO-1_Employment_Data.pdf
AirBnB,2019,black,leadership,6.0%,https://news.airbnb.com/wp-content/uploads/sites/4/2019/03/2018_EEO-1_Employment_Data.pdf
AirBnB,2019,hispanic,leadership,4.0%,https://news.airbnb.com/wp-content/uploads/sites/4/2019/03/2018_EEO-1_Employment_Data.pdf
AirBnB,2019,white,leadership,62.0%,https://news.airbnb.com/wp-content/uploads/sites/4/2019/03/2018_EEO-1_Employment_Data.pdf
Amazon,2016,asian,all_roles,13.0%,https://images-na.ssl-images-amazon.com/images/G/01/DiversityCampaign2016_Q3/EEO-1_2016_consolidated._V525968886_.pdf
Amazon,2016,black,all_roles,21.0%,https://images-na.ssl-images-amazon.com/images/G/01/DiversityCampaign2016_Q3/EEO-1_2016_consolidated._V525968886_.pdf
Amazon,2016,hispanic,all_roles,13.0%,https://images-na.ssl-images-amazon.com/images/G/01/DiversityCampaign2016_Q3/EEO-1_2016_consolidated._V525968886_.pdf
Amazon,2016,white,all_roles,48.0%,https://images-na.ssl-images-amazon.com/images/G/01/DiversityCampaign2016_Q3/EEO-1_2016_consolidated._V525968886_.pdf
Amazon,2016,asian,leadership,6.0%,https://images-na.ssl-images-amazon.com/images/G/01/DiversityCampaign2016_Q3/EEO-1_2016_consolidated._V525968886_.pdf
Amazon,2016,black,leadership,0.0%,https://images-na.ssl-images-amazon.com/images/G/01/DiversityCampaign2016_Q3/EEO-1_2016_consolidated._V525968886_.pdf
Amazon,2016,hispanic,leadership,1.0%,https://images-na.ssl-images-amazon.com/images/G/01/DiversityCampaign2016_Q3/EEO-1_2016_consolidated._V525968886_.pdf
Amazon,2016,white,leadership,93.0%,https://images-na.ssl-images-amazon.com/images/G/01/DiversityCampaign2016_Q3/EEO-1_2016_consolidated._V525968886_.pdf
Amazon,2019,asian,all_roles,15.4%,"https://sustainability.aboutamazon.com/people/employees/diversity-inclusion#:~:text=Data%20reflects%20metrics%20as%20of,and%2072.5%25%20identify%20as%20men."
Amazon,2019,black,all_roles,26.5%,"https://sustainability.aboutamazon.com/people/employees/diversity-inclusion#:~:text=Data%20reflects%20metrics%20as%20of,and%2072.5%25%20identify%20as%20men."
Amazon,2019,hispanic,all_roles,18.5%,"https://sustainability.aboutamazon.com/people/employees/diversity-inclusion#:~:text=Data%20reflects%20metrics%20as%20of,and%2072.5%25%20identify%20as%20men."
Amazon,2019,white,all_roles,34.7%,"https://sustainability.aboutamazon.com/people/employees/diversity-inclusion#:~:text=Data%20reflects%20metrics%20as%20of,and%2072.5%25%20identify%20as%20men."
Amazon,2020,asian,all_roles,13.6%,https://www.aboutamazon.com/news/workplace/our-workforce-data
Amazon,2020,black,all_roles,26.5%,https://www.aboutamazon.com/news/workplace/our-workforce-data
Amazon,2020,hispanic,all_roles,22.8%,https://www.aboutamazon.com/news/workplace/our-workforce-data
Amazon,2020,white,all_roles,32.1%,https://www.aboutamazon.com/news/workplace/our-workforce-data
Apple,2014,asian,all_roles,15.0%,https://www.apple.com/diversity/
Apple,2014,black,all_roles,7.0%,https://www.apple.com/diversity/
Apple,2014,hispanic,all_roles,11.0%,https://www.apple.com/diversity/
Apple,2014,white,all_roles,55.0%,https://www.apple.com/diversity/
Apple,2014,asian,leadership,21.0%,https://www.apple.com/diversity/
Apple,2014,black,leadership,3.0%,https://www.apple.com/diversity/
Apple,2014,hispanic,leadership,6.0%,https://www.apple.com/diversity/
Apple,2014,white,leadership,64.0%,https://www.apple.com/diversity/
Apple,2014,asian,non_technical,9.0%,https://www.apple.com/diversity/
Apple,2014,black,non_technical,9.0%,https://www.apple.com/diversity/
Apple,2014,hispanic,non_technical,14.0%,https://www.apple.com/diversity/
Apple,2014,white,non_technical,56.0%,https://www.apple.com/diversity/
Apple,2014,asian,technical,23.0%,https://www.apple.com/diversity/
Apple,2014,black,technical,6.0%,https://www.apple.com/diversity/
Apple,2014,hispanic,technical,7.0%,https://www.apple.com/diversity/
Apple,2014,white,technical,54.0%,https://www.apple.com/diversity/
Apple,2015,asian,all_roles,18.0%,https://www.apple.com/diversity/
Apple,2015,black,all_roles,8.0%,https://www.apple.com/diversity/
Apple,2015,hispanic,all_roles,11.0%,https://www.apple.com/diversity/
Apple,2015,white,all_roles,54.0%,https://www.apple.com/diversity/
Apple,2015,asian,leadership,21.0%,https://www.apple.com/diversity/
Apple,2015,black,leadership,3.0%,https://www.apple.com/diversity/
Apple,2015,hispanic,leadership,6.0%,https://www.apple.com/diversity/
Apple,2015,white,leadership,63.0%,https://www.apple.com/diversity/
Apple,2015,asian,non_technical,11.0%,https://www.apple.com/diversity/
Apple,2015,black,non_technical,10.0%,https://www.apple.com/diversity/
Apple,2015,hispanic,non_technical,14.0%,https://www.apple.com/diversity/
Apple,2015,white,non_technical,56.0%,https://www.apple.com/diversity/
Apple,2015,asian,technical,25.0%,https://www.apple.com/diversity/
Apple,2015,black,technical,7.0%,https://www.apple.com/diversity/
Apple,2015,hispanic,technical,8.0%,https://www.apple.com/diversity/
Apple,2015,white,technical,53.0%,https://www.apple.com/diversity/
Apple,2016,asian,all_roles,19.0%,https://www.apple.com/diversity/
Apple,2016,black,all_roles,9.0%,https://www.apple.com/diversity/
Apple,2016,hispanic,all_roles,12.0%,https://www.apple.com/diversity/
Apple,2016,white,all_roles,56.0%,https://www.apple.com/diversity/
Apple,2016,asian,leadership,21.0%,https://www.apple.com/diversity/
Apple,2016,black,leadership,3.0%,https://www.apple.com/diversity/
Apple,2016,hispanic,leadership,7.0%,https://www.apple.com/diversity/
Apple,2016,white,leadership,67.0%,https://www.apple.com/diversity/
Apple,2016,asian,non_technical,12.0%,https://www.apple.com/diversity/
Apple,2016,black,non_technical,11.0%,https://www.apple.com/diversity/
Apple,2016,hispanic,non_technical,16.0%,https://www.apple.com/diversity/
Apple,2016,white,non_technical,58.0%,https://www.apple.com/diversity/
Apple,2016,asian,technical,27.0%,https://www.apple.com/diversity/
Apple,2016,black,technical,8.0%,https://www.apple.com/diversity/
Apple,2016,hispanic,technical,8.0%,https://www.apple.com/diversity/
Apple,2016,white,technical,55.0%,https://www.apple.com/diversity/
Apple,2017,asian,all_roles,21.0%,https://www.apple.com/diversity/
Apple,2017,black,all_roles,9.0%,https://www.apple.com/diversity/
Apple,2017,hispanic,all_roles,13.0%,https://www.apple.com/diversity/
Apple,2017,white,all_roles,54.0%,https://www.apple.com/diversity/
Apple,2017,asian,leadership,23.0%,https://www.apple.com/diversity/
Apple,2017,black,leadership,3.0%,https://www.apple.com/diversity/
Apple,2017,hispanic,leadership,7.0%,https://www.apple.com/diversity/
Apple,2017,white,leadership,66.0%,https://www.apple.com/diversity/
Apple,2017,asian,non_technical,12.0%,https://www.apple.com/diversity/
Apple,2017,black,non_technical,11.0%,https://www.apple.com/diversity/
Apple,2017,hispanic,non_technical,17.0%,https://www.apple.com/diversity/
Apple,2017,white,non_technical,56.0%,https://www.apple.com/diversity/
Apple,2017,asian,technical,31.0%,https://www.apple.com/diversity/
Apple,2017,black,technical,7.0%,https://www.apple.com/diversity/
Apple,2017,hispanic,technical,8.0%,https://www.apple.com/diversity/
Apple,2017,white,technical,52.0%,https://www.apple.com/diversity/
Apple,2018,asian,all_roles,23.0%,https://www.apple.com/diversity/
Apple,2018,black,all_roles,9.0%,https://www.apple.com/diversity/
Apple,2018,hispanic,all_roles,14.0%,https://www.apple.com/diversity/
Apple,2018,white,all_roles,50.0%,https://www.apple.com/diversity/
Apple,2018,asian,leadership,26.0%,https://www.apple.com/diversity/
Apple,2018,black,leadership,3.0%,https://www.apple.com/diversity/
Apple,2018,hispanic,leadership,7.0%,https://www.apple.com/diversity/
Apple,2018,white,leadership,63.0%,https://www.apple.com/diversity/
Apple,2018,asian,non_technical,12.0%,https://www.apple.com/diversity/
Apple,2018,black,non_technical,12.0%,https://www.apple.com/diversity/
Apple,2018,hispanic,non_technical,20.0%,https://www.apple.com/diversity/
Apple,2018,white,non_technical,51.0%,https://www.apple.com/diversity/
Apple,2018,asian,technical,35%,https://www.apple.com/diversity/
Apple,2018,black,technical,6%,https://www.apple.com/diversity/
Apple,2018,hispanic,technical,8%,https://www.apple.com/diversity/
Apple,2018,white,technical,49%,https://www.apple.com/diversity/
Apple,2019,asian,all_roles,24.0%,https://www.apple.com/diversity/
Apple,2019,black,all_roles,9.0%,https://www.apple.com/diversity/
Apple,2019,hispanic,all_roles,14.0%,https://www.apple.com/diversity/
Apple,2019,white,all_roles,48.0%,https://www.apple.com/diversity/
Apple,2019,asian,leadership,25.0%,https://www.apple.com/diversity/
Apple,2019,black,leadership,4.0%,https://www.apple.com/diversity/
Apple,2019,hispanic,leadership,8.0%,https://www.apple.com/diversity/
Apple,2019,white,leadership,62.0%,https://www.apple.com/diversity/
Apple,2019,asian,non_technical,13.0%,https://www.apple.com/diversity/
Apple,2019,black,non_technical,12.0%,https://www.apple.com/diversity/
Apple,2019,hispanic,non_technical,20.0%,https://www.apple.com/diversity/
Apple,2019,white,non_technical,50.0%,https://www.apple.com/diversity/
Apple,2019,asian,technical,36.0%,https://www.apple.com/diversity/
Apple,2019,black,technical,6.0%,https://www.apple.com/diversity/
Apple,2019,hispanic,technical,8.0%,https://www.apple.com/diversity/
Apple,2019,white,technical,47.0%,https://www.apple.com/diversity/
Apple,2020,asian,all_roles,27.0%,https://www.apple.com/diversity/
Apple,2020,black,all_roles,9.0%,https://www.apple.com/diversity/
Apple,2020,hispanic,all_roles,14.0%,https://www.apple.com/diversity/
Apple,2020,white,all_roles,47.0%,https://www.apple.com/diversity/
